GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mavenproject1,pkgPresentacion,FrmClienteInternal,88,600,3,3,24,131,5,5,3,4
mavenproject1,pkgPresentacion,FrmPrincipal.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
mavenproject1,pkgPresentacion,FrmPrincipal.new Runnable() {...},6,3,0,0,2,1,1,1,1,1
mavenproject1,pkgPresentacion,FrmLogin,386,260,3,3,98,42,4,4,2,3
mavenproject1,pkgPresentacion,FrmAgregarHabi,99,1448,2,0,28,279,6,2,5,2
mavenproject1,pkgPresentacion,FrmCliente,371,1053,26,2,91,209,22,5,9,4
mavenproject1,pkgPresentacion,FrmInternalReservas.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
mavenproject1,pkgPresentacion,FrmInternalReservas.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
mavenproject1,pkgPresentacion,FrmInternalListaHab,99,708,6,2,20,122,5,4,2,3
mavenproject1,pkgPresentacion,FrmCargo.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
mavenproject1,pkgPresentacion,FrmClienteInternal.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
mavenproject1,pkgPresentacion,FrmCargo.new MouseAdapter() {...},5,6,0,0,2,1,1,1,1,1
mavenproject1,pkgPresentacion,FrmClienteInternal.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
mavenproject1,pkgPresentacion,FrmCargo.new ListSelectionListener() {...},48,0,4,0,7,0,4,0,2,0
mavenproject1,pkgPresentacion,FrmClienteInternal.new Runnable() {...},0,9,0,0,0,3,0,2,0,2
mavenproject1,pkgPresentacion,FrmCargo.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
mavenproject1,pkgPresentacion,FrmCargo.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
mavenproject1,pkgPresentacion,FrmCargo.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
mavenproject1,pkgPresentacion,FrmCargo.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
mavenproject1,pkgPresentacion,FrmClienteInternal.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
mavenproject1,pkgPresentacion,FrmReservas,204,764,14,2,55,113,12,5,5,4
mavenproject1,pkgPresentacion,FrmAgregarHabi.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
mavenproject1,pkgPresentacion,FrmAgregarHabi.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
mavenproject1,pkgPresentacion,FrmAgregarHabi.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
mavenproject1,pkgPresentacion,FrmInternalRes.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
mavenproject1,pkgPresentacion,FrmInternalRes.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
mavenproject1,pkgPresentacion,FrmPrincipal,640,134,1,3,142,29,11,5,10,4
mavenproject1,pkgPresentacion,FrmAlquilerHab,89,679,3,3,21,143,3,5,1,4
mavenproject1,pkgPresentacion,FrmInternalRes.new KeyAdapter() {...},5,6,0,0,2,1,1,1,1,1
mavenproject1,pkgPresentacion,FrmPrincipal.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
mavenproject1,pkgPresentacion,FrmPrincipal.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
mavenproject1,pkgPresentacion,FrmUsuarios,326,1237,20,2,78,252,17,5,7,4
mavenproject1,pkgPresentacion,FrmPrincipal.new MouseAdapter() {...},11,0,0,0,3,0,2,0,2,0
mavenproject1,pkgPresentacion,FrmInternalListaHab.new ListSelectionListener() {...},112,0,4,0,15,0,4,0,2,0
mavenproject1,pkgPresentacion,FrmPrincipal.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
mavenproject1,pkgPresentacion,FrmInternalListaHab.new DefaultTableCellRenderer() {...},19,6,2,0,7,1,2,1,1,1
mavenproject1,pkgPresentacion,FrmInternalListaHab.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
mavenproject1,pkgPresentacion,FrmInternalListaHab.new MouseAdapter() {...},5,6,0,0,2,1,1,1,1,1
mavenproject1,pkgPresentacion,FrmPrincipal.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
mavenproject1,pkgPresentacion,FrmPrincipal.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
